name,lat,lon,elevation_m,band,land_frac,kind
gs46p5_168p6,-46.5,168.6,21.0,1,1.0,sampled
gs46p4_168p8,-46.4,168.8,46.0,1,1.0,sampled
gs46p3_169p8,-46.3,169.8,5.0,1,0.94,sampled
gs46p2_168p1,-46.2,168.1,49.0,1,1.0,sampled
gs46p2_168p2,-46.2,168.2,45.0,1,1.0,sampled
gs44p9_171p1,-44.9,171.1,27.0,1,1.0,sampled
gs44p3_171p3,-44.3,171.3,10.0,1,0.73,sampled
gs43p9_172p1,-43.9,172.1,29.0,1,0.87,sampled
gs43p8_169p1,-43.8,169.1,13.0,1,0.59,sampled
gs43p8_172p3,-43.8,172.3,15.0,1,1.0,sampled
gs43p8_172p4,-43.8,172.4,7.0,1,0.94,sampled
gs43p5_172p7,-43.5,172.7,5.0,1,0.78,sampled
gs43p2_172p7,-43.2,172.7,44.0,1,0.99,sampled
gs42p6_171p1,-42.6,171.1,45.0,1,0.58,sampled
gs41p8_171p5,-41.8,171.5,24.0,1,0.93,sampled
gs41p3_175p2,-41.3,175.2,8.0,1,1.0,sampled
gs40p3_175p6,-40.3,175.6,44.0,1,1.0,sampled
gs40p2_175p2,-40.2,175.2,14.0,1,0.5,sampled
gs37p8_176p5,-37.8,176.5,13.0,1,0.8,sampled
gs37p7_175p3,-37.7,175.3,32.0,1,1.0,sampled
gs37p7_175p4,-37.7,175.4,40.0,1,1.0,sampled
gs37p6_175p2,-37.6,175.2,39.0,1,1.0,sampled
gs37p6_175p4,-37.6,175.4,44.0,1,1.0,sampled
gs37p5_175p2,-37.5,175.2,26.0,1,0.99,sampled
gs37p3_175p1,-37.3,175.1,11.0,1,1.0,sampled
gs37p3_175p6,-37.3,175.6,2.0,1,1.0,sampled
gs37p2_175p5,-37.2,175.5,1.0,1,0.76,sampled
gs36p9_174p8,-36.9,174.8,38.0,1,0.97,sampled
gs36p8_174p6,-36.8,174.6,37.0,1,1.0,sampled
gs36p6_174p3,-36.6,174.3,50.0,1,0.85,sampled
gs36p4_174p4,-36.4,174.4,25.0,1,0.73,sampled
gs35p8_174p4,-35.8,174.4,37.0,1,0.74,sampled
gs35p7_174p5,-35.7,174.5,40.0,1,0.78,sampled
gs35p2_174p0,-35.2,174.0,32.0,1,0.88,sampled
gs47p1_168p0,-47.1,168.0,57.0,2,0.83,sampled
gs46p6_169p2,-46.6,169.2,132.0,2,0.99,sampled
gs46p2_168p0,-46.2,168.0,111.0,2,1.0,sampled
gs46p2_169p6,-46.2,169.6,64.0,2,1.0,sampled
gs46p0_170p2,-46.0,170.2,71.0,2,0.92,sampled
gs43p9_171p8,-43.9,171.8,91.0,2,1.0,sampled
gs43p8_172p1,-43.8,172.1,67.0,2,1.0,sampled
gs43p7_172p1,-43.7,172.1,97.0,2,1.0,sampled
gs43p5_172p4,-43.5,172.4,82.0,2,1.0,sampled
gs42p9_171p0,-42.9,171.0,74.0,2,1.0,sampled
gs42p6_171p2,-42.6,171.2,88.0,2,1.0,sampled
gs41p8_171p6,-41.8,171.6,63.0,2,1.0,sampled
gs41p4_175p7,-41.4,175.7,139.0,2,0.6,sampled
gs41p2_174p9,-41.2,174.9,149.0,2,0.9,sampled
gs40p5_176p4,-40.5,176.4,127.0,2,1.0,sampled
gs40p4_176p6,-40.4,176.6,139.0,2,0.88,sampled
gs40p3_176p6,-40.3,176.6,100.0,2,1.0,sampled
gs40p2_176p6,-40.2,176.6,79.0,2,1.0,sampled
gs39p7_174p7,-39.7,174.7,144.0,2,1.0,sampled
gs39p4_173p9,-39.4,173.9,131.0,2,1.0,sampled
gs38p3_175p2,-38.3,175.2,112.0,2,1.0,sampled
gs38p1_176p8,-38.1,176.8,144.0,2,1.0,sampled
gs38p1_177p0,-38.1,177.0,66.0,2,1.0,sampled
gs37p9_176p5,-37.9,176.5,111.0,2,1.0,sampled
gs37p8_175p0,-37.8,175.0,102.0,2,1.0,sampled
gs37p5_174p9,-37.5,174.9,107.0,2,1.0,sampled
gs37p5_175p4,-37.5,175.4,127.0,2,1.0,sampled
gs37p3_175p7,-37.3,175.7,146.0,2,1.0,sampled
gs37p2_175p3,-37.2,175.3,73.0,2,0.9,sampled
gs36p9_175p8,-36.9,175.8,76.0,2,0.9,sampled
gs36p7_174p5,-36.7,174.5,72.0,2,1.0,sampled
gs36p5_174p5,-36.5,174.5,85.0,2,1.0,sampled
gs35p4_174p0,-35.4,174.0,93.0,2,1.0,sampled
gs46p1_169p8,-46.1,169.8,198.0,3,1.0,sampled
gs45p9_168p4,-45.9,168.4,260.0,3,1.0,sampled
gs45p9_168p9,-45.9,168.9,211.0,3,1.0,sampled
gs45p7_168p3,-45.7,168.3,329.0,3,1.0,sampled
gs45p5_167p7,-45.5,167.7,271.0,3,1.0,sampled
gs44p6_171p0,-44.6,171.0,206.0,3,1.0,sampled
gs44p5_171p0,-44.5,171.0,198.0,3,1.0,sampled
gs44p4_171p1,-44.4,171.1,156.0,3,1.0,sampled
gs43p7_171p7,-43.7,171.7,244.0,3,1.0,sampled
gs43p3_172p2,-43.3,172.2,255.0,3,1.0,sampled
gs42p9_172p9,-42.9,172.9,238.0,3,1.0,sampled
gs41p5_175p4,-41.5,175.4,201.0,3,1.0,sampled
gs41p3_174p0,-41.3,174.0,222.0,3,0.89,sampled
gs41p3_175p8,-41.3,175.8,284.0,3,0.98,sampled
gs41p1_175p3,-41.1,175.3,247.0,3,1.0,sampled
gs40p4_176p3,-40.4,176.3,199.0,3,1.0,sampled
gs40p3_176p1,-40.3,176.1,265.0,3,1.0,sampled
gs39p9_175p5,-39.9,175.5,240.0,3,1.0,sampled
gs39p7_175p0,-39.7,175.0,319.0,3,1.0,sampled
gs39p5_174p7,-39.5,174.7,243.0,3,1.0,sampled
gs39p0_175p1,-39.0,175.1,245.0,3,1.0,sampled
gs39p0_175p2,-39.0,175.2,371.0,3,1.0,sampled
gs38p9_175p9,-38.9,175.9,371.0,3,1.0,sampled
gs38p8_175p0,-38.8,175.0,231.0,3,1.0,sampled
gs38p5_174p7,-38.5,174.7,227.0,3,1.0,sampled
gs38p5_174p9,-38.5,174.9,193.0,3,1.0,sampled
gs38p4_175p7,-38.4,175.7,291.0,3,1.0,sampled
gs38p3_175p3,-38.3,175.3,224.0,3,1.0,sampled
gs38p3_176p8,-38.3,176.8,235.0,3,1.0,sampled
gs38p0_175p9,-38.0,175.9,256.0,3,1.0,sampled
gs37p9_177p7,-37.9,177.7,393.0,3,1.0,sampled
gs37p8_175p6,-37.8,175.6,185.0,3,1.0,sampled
gs36p8_175p6,-36.8,175.6,158.0,3,0.98,sampled
gs35p6_174p1,-35.6,174.1,167.0,3,1.0,sampled
gs46p1_166p9,-46.1,166.9,638.0,4,1.0,sampled
gs45p9_167p3,-45.9,167.3,712.0,4,1.0,sampled
gs45p7_167p1,-45.7,167.1,724.0,4,1.0,sampled
gs45p4_170p4,-45.4,170.4,509.0,4,1.0,sampled
gs45p2_169p6,-45.2,169.6,511.0,4,1.0,sampled
gs45p1_167p2,-45.1,167.2,610.0,4,1.0,sampled
gs45p0_169p9,-45.0,169.9,603.0,4,1.0,sampled
gs44p9_167p3,-44.9,167.3,469.0,4,0.85,sampled
gs44p8_168p4,-44.8,168.4,561.0,4,1.0,sampled
gs44p6_170p2,-44.6,170.2,478.0,4,1.0,sampled
gs44p2_168p3,-44.2,168.3,410.0,4,1.0,sampled
gs43p9_171p2,-43.9,171.2,609.0,4,1.0,sampled
gs43p5_171p7,-43.5,171.7,481.0,4,1.0,sampled
gs43p4_171p9,-43.4,171.9,439.0,4,1.0,sampled
gs43p1_172p2,-43.1,172.2,598.0,4,1.0,sampled
gs43p1_172p5,-43.1,172.5,497.0,4,1.0,sampled
gs42p4_173p3,-42.4,173.3,796.0,4,1.0,sampled
gs42p4_173p4,-42.4,173.4,487.0,4,1.0,sampled
gs41p9_173p6,-41.9,173.6,790.0,4,1.0,sampled
gs41p8_172p7,-41.8,172.7,685.0,4,1.0,sampled
gs41p7_173p5,-41.7,173.5,606.0,4,1.0,sampled
gs41p5_173p0,-41.5,173.0,424.0,4,1.0,sampled
gs41p4_173p3,-41.4,173.3,639.0,4,1.0,sampled
gs41p4_173p4,-41.4,173.4,562.0,4,1.0,sampled
gs41p4_173p7,-41.4,173.7,490.0,4,1.0,sampled
gs40p5_175p6,-40.5,175.6,404.0,4,1.0,sampled
gs40p0_176p0,-40.0,176.0,697.0,4,1.0,sampled
gs39p3_176p6,-39.3,176.6,510.0,4,1.0,sampled
gs38p9_177p8,-38.9,177.8,418.0,4,1.0,sampled
gs38p8_176p4,-38.8,176.4,689.0,4,1.0,sampled
gs38p7_175p4,-38.7,175.4,472.0,4,1.0,sampled
gs38p2_177p6,-38.2,177.6,596.0,4,1.0,sampled
gs37p9_176p1,-37.9,176.1,407.0,4,1.0,sampled
gs45p6_167p2,-45.6,167.2,1021.0,5,1.0,sampled
gs45p6_169p8,-45.6,169.8,938.0,5,1.0,sampled
gs45p5_169p9,-45.5,169.9,855.0,5,1.0,sampled
gs45p4_170p1,-45.4,170.1,1049.0,5,1.0,sampled
gs45p3_168p9,-45.3,168.9,1137.0,5,1.0,sampled
gs44p6_169p5,-44.6,169.5,855.0,5,1.0,sampled
gs44p3_169p6,-44.3,169.6,1181.0,5,1.0,sampled
gs44p2_169p3,-44.2,169.3,1118.0,5,1.0,sampled
gs44p0_170p1,-44.0,170.1,1168.0,5,1.0,sampled
gs43p9_170p4,-43.9,170.4,975.0,5,1.0,sampled
gs43p9_170p8,-43.9,170.8,1018.0,5,1.0,sampled
gs43p8_170p1,-43.8,170.1,1040.0,5,1.0,sampled
gs43p8_170p2,-43.8,170.2,1175.0,5,1.0,sampled
gs43p8_171p0,-43.8,171.0,936.0,5,1.0,sampled
gs43p7_170p2,-43.7,170.2,1244.0,5,1.0,sampled
gs43p7_170p9,-43.7,170.9,871.0,5,1.0,sampled
gs43p6_170p8,-43.6,170.8,1327.0,5,1.0,sampled
gs43p2_171p6,-43.2,171.6,1243.0,5,1.0,sampled
gs43p1_171p5,-43.1,171.5,1278.0,5,1.0,sampled
gs43p0_172p0,-43.0,172.0,1051.0,5,1.0,sampled
gs42p8_171p9,-42.8,171.9,1177.0,5,1.0,sampled
gs42p2_173p0,-42.2,173.0,1270.0,5,1.0,sampled
gs42p0_171p6,-42.0,171.6,900.0,5,1.0,sampled
gs42p0_172p6,-42.0,172.6,1257.0,5,1.0,sampled
gs42p0_173p4,-42.0,173.4,1001.0,5,1.0,sampled
gs41p9_172p1,-41.9,172.1,903.0,5,1.0,sampled
gs41p9_173p3,-41.9,173.3,1322.0,5,1.0,sampled
gs39p7_176p2,-39.7,176.2,1032.0,5,1.0,sampled
gs39p6_176p1,-39.6,176.1,961.0,5,1.0,sampled
gs39p4_175p7,-39.4,175.7,913.0,5,1.0,sampled
gs39p2_175p5,-39.2,175.5,1076.0,5,1.0,sampled
gs39p2_175p8,-39.2,175.8,953.0,5,1.0,sampled
