cell,cm,cc,n,crpss,lat,lon
g-34p5_172p8,0.5235931863018095,0.8733319008459026,1200,0.40046483382244347,-34.5,172.8
g-34p5_172p9,0.5345542467489338,0.8491821297584101,1200,0.3705069524943807,-34.5,172.9
g-34p5_173p0,0.29868245044964065,0.6137932600996767,1200,0.5133826487421249,-34.5,173.0
g-34p6_172p8,0.7794249584676027,1.1239727023538824,1200,0.3065445834802836,-34.6,172.8
g-34p6_172p9,0.5945214516757401,0.9370211684672782,1200,0.3655197217708306,-34.6,172.9
g-34p7_172p9,0.44518482575218776,0.8361088718085861,1200,0.4675516063007332,-34.7,172.9
g-34p7_173p0,0.4474633277270243,0.7647263135015965,1200,0.41487128162474285,-34.7,173.0
g-34p8_173p0,0.22624810684084457,0.7049127407604828,1200,0.679040973785265,-34.8,173.0
g-34p9_173p1,0.26670918618008527,0.6870508390416702,1200,0.6118057485351398,-34.9,173.1
g-34p9_173p2,0.2930253697485156,0.7389271495258436,1200,0.6034448457651815,-34.9,173.2
g-34p9_173p4,0.2882038338498202,0.7317802156694233,1200,0.6061606645293425,-34.9,173.4
g-35p0_173p3,0.27593652427108634,0.7467515344327936,1200,0.6304841549730753,-35.0,173.3
g-35p0_173p4,0.24584789722603897,0.7591814816677966,1189,0.6761671574417862,-35.0,173.4
g-35p0_173p6,0.36167153613019737,0.7949545348652949,1200,0.5450412315825299,-35.0,173.6
g-35p1_173p2,0.3867143366436531,0.8362253253068775,1200,0.537547686083608,-35.1,173.2
g-35p1_173p3,0.2684865053728837,0.7366497753746808,1200,0.6355303234344654,-35.1,173.3
g-35p1_173p4,0.25724389991464,0.7203127140893291,1200,0.6428719153737746,-35.1,173.4
g-35p1_173p5,0.3455906883070868,0.7524471302966897,1200,0.540711002285542,-35.1,173.5
g-35p1_173p6,0.44875421695485024,0.8155402701254935,1200,0.4497460966755241,-35.1,173.6
g-35p1_173p7,0.3020493061684261,0.7699280670719842,1200,0.6076915245899379,-35.1,173.7
g-35p1_173p8,0.3135810373220092,0.7858476689023276,1200,0.6009646020073848,-35.1,173.8
g-35p1_173p9,0.23154688750833136,0.7244494238014644,1200,0.6803822600985505,-35.1,173.9
g-35p2_173p1,0.18083201887101397,0.6637916955150043,1200,0.7275771599843306,-35.2,173.1
g-35p2_173p2,0.19959485781788394,0.8299092937850704,1200,0.7594979845236256,-35.2,173.2
g-35p2_173p3,0.3717278973209039,0.8109823770355433,1200,0.5416325830905053,-35.2,173.3
g-35p2_173p4,0.26578679153399665,0.7624328900594264,1200,0.6513964769892333,-35.2,173.4
g-35p2_173p5,0.24057117173089812,0.7470646982096757,1200,0.6779781291936003,-35.2,173.5
g-35p2_173p6,0.2579918597816831,0.7341473953860501,1200,0.6485830210621144,-35.2,173.6
g-35p2_173p7,0.15277258106412603,0.6625146325336149,1200,0.7694049707553069,-35.2,173.7
g-35p2_173p8,0.21305264015129496,0.7127557795044656,1200,0.7010860574158836,-35.2,173.8
g-35p2_173p9,0.22940899490320446,0.7115368512164181,1200,0.6775866288428842,-35.2,173.9
g-35p2_174p0,0.17914029266937104,0.6708497144140277,1184,0.7329650906599161,-35.2,174.0
g-35p3_173p2,0.29236342283243566,0.8057443622841189,1200,0.6371511405880077,-35.3,173.2
g-35p3_173p3,0.310681989968426,0.7455361184912424,1200,0.5832770777126668,-35.3,173.3
g-35p3_173p4,0.35837419698511164,0.7674062160440986,1182,0.5330058716067034,-35.3,173.4
g-35p3_173p5,0.35343411795641355,0.8062812321721124,1185,0.5616490824122669,-35.3,173.5
g-35p3_173p6,0.4135077900714058,0.8522339947288856,1200,0.514795475621749,-35.3,173.6
g-35p3_173p7,0.3837681808064144,0.7819834524268905,1200,0.5092374658116007,-35.3,173.7
g-35p3_173p8,0.4505016204132545,0.9100187864061445,1200,0.5049534942103997,-35.3,173.8
g-35p3_173p9,0.39978107148260383,0.8122937105689197,1200,0.5078368005550573,-35.3,173.9
g-35p3_174p0,0.25701219859432367,0.769183626814435,1200,0.6658636642348503,-35.3,174.0
g-35p3_174p1,0.21815019383267245,0.7252432974490026,1200,0.6992041228095427,-35.3,174.1
g-35p3_174p2,0.26764736749722484,0.7450409836306547,1200,0.6407615508707265,-35.3,174.2
g-35p4_173p3,0.2874324751647219,0.7405541551873709,1200,0.6118683918639314,-35.4,173.3
g-35p4_173p4,0.37203584471393986,0.7724240274944653,1200,0.5183528328077474,-35.4,173.4
g-35p4_173p5,0.2751971650938777,0.7698473930188144,1200,0.6425302370451074,-35.4,173.5
g-35p4_173p6,0.26391239939312405,0.8174284207914024,1200,0.6771431079707085,-35.4,173.6
g-35p4_173p7,0.1347877174668059,0.6341090577390666,1200,0.7874376405418411,-35.4,173.7
g-35p4_173p8,0.2849385824698686,0.780757772216263,1200,0.6350486762865768,-35.4,173.8
g-35p4_173p9,0.2858818619006928,0.8129858185180152,1200,0.6483556596081537,-35.4,173.9
g-35p4_174p0,0.15005568032700317,0.707508474389712,1200,0.7879097060195084,-35.4,174.0
g-35p4_174p1,0.36432086260805396,0.8663004485114167,1200,0.5794520674275598,-35.4,174.1
g-35p4_174p2,0.206539572950438,0.7783891056881597,1200,0.734657677707552,-35.4,174.2
g-35p4_174p3,0.2921378369789272,0.7974108659553653,1200,0.6336420163664042,-35.4,174.3
g-35p4_174p4,0.2994780006250584,0.7100042480727037,1200,0.5782025228187195,-35.4,174.4
g-35p5_173p4,0.36819116340548413,0.872896671226869,1200,0.578196165087918,-35.5,173.4
g-35p5_173p5,0.3656653917681443,0.7577861377845208,1200,0.517455686327001,-35.5,173.5
g-35p5_173p6,0.5164149684282501,0.9313435710299139,1200,0.44551615054669946,-35.5,173.6
g-35p5_173p7,0.26147357321099596,0.7603191319206685,1193,0.6561002318191329,-35.5,173.7
g-35p5_173p8,0.2694388732937006,0.8670499405963347,1200,0.6892464197524915,-35.5,173.8
g-35p5_173p9,0.2813791490381755,0.7952362886428213,1200,0.6461691285260797,-35.5,173.9
g-35p5_174p0,0.3722660339882043,0.8451730332321797,1200,0.559538675098809,-35.5,174.0
g-35p5_174p1,0.2148655572334538,0.743123433313643,1200,0.7108615505833906,-35.5,174.1
g-35p5_174p2,0.208557078773136,0.8066556505939882,1196,0.7414546360400958,-35.5,174.2
g-35p5_174p3,0.25960581052604753,0.8122214104184174,1198,0.6803755636134843,-35.5,174.3
g-35p5_174p4,0.4618520199330891,0.8381166510780652,1200,0.4489406464613116,-35.5,174.4
g-35p6_173p5,0.39534490172667436,0.7937419572084521,1200,0.5019226360200472,-35.6,173.5
g-35p6_173p6,0.17396361592223525,0.7063259171381769,1184,0.7537063107820194,-35.6,173.6
g-35p6_173p7,0.3580609123613708,0.8311197788765033,1200,0.5691825396750962,-35.6,173.7
g-35p6_173p8,0.3301838966207905,0.7858712671293566,1200,0.5798498934476997,-35.6,173.8
g-35p6_173p9,0.25060514688501545,0.7209651459567249,1200,0.6524032426665217,-35.6,173.9
g-35p6_174p0,0.38291893603469573,0.8020161620688514,1180,0.5225545891158451,-35.6,174.0
g-35p6_174p1,0.1423236787276192,0.6674485573126003,1200,0.78676457208827,-35.6,174.1
g-35p6_174p2,0.5040267069540579,0.9273139290020775,1184,0.45646593759627574,-35.6,174.2
g-35p6_174p3,0.20515208671813046,0.7663166661545013,1200,0.7322881051933581,-35.6,174.3
g-35p6_174p4,0.11709796558454674,0.7182261011842638,1200,0.8369622527064011,-35.6,174.4
g-35p6_174p5,0.14957962472641634,0.7264601075354342,1200,0.7940979509062438,-35.6,174.5
g-35p7_173p5,0.3916827460495196,0.783480128784043,1200,0.5000731586423142,-35.7,173.5
g-35p7_173p6,0.27429017426722235,0.7810584270550559,1200,0.6488224635109302,-35.7,173.6
g-35p7_173p7,0.26922103494750854,0.7093105405320724,1200,0.6204468712031845,-35.7,173.7
g-35p7_173p8,0.4170625054231847,0.8039614457559462,1200,0.4812406644313266,-35.7,173.8
g-35p7_173p9,0.24555820482767057,0.721014809049666,1200,0.6594269607980331,-35.7,173.9
g-35p7_174p0,0.42208583929152554,0.8572299011455228,1200,0.5076165230266827,-35.7,174.0
g-35p7_174p1,0.3218705133335405,0.7735424637794495,1200,0.5839006539331868,-35.7,174.1
