horizon_h,auc_binary,auc_tweedie,auc_gain,n_wet
0,0.8228966037479571,0.8253903069108715,-0.002493703162914307,11097
1,0.8159584275282397,0.8162691499533754,-0.00031072242513574544,11171
2,0.808707746053951,0.8080135643899402,0.0006941816640108067,11171
3,0.8037312253148202,0.8020351334154329,0.001696091899387353,11054
4,0.7938952073397305,0.7922581984682279,0.0016370088715026432,11143
5,0.7844096947516914,0.7815767903762725,0.002832904375418943,11155
6,0.7718283529076568,0.7692351815834664,0.0025931713241904575,11083
7,0.7628116509780338,0.7593034080537034,0.0035082429243303848,11225
8,0.7563253193525358,0.7523836043832657,0.003941714969270094,11173
9,0.7473217572504941,0.743939413635727,0.0033823436147670805,11050
10,0.7388717035230262,0.7335062734880351,0.0053654300349911255,11114
11,0.7264238208755527,0.7222213612216402,0.004202459653912527,11258
12,0.7190593869722334,0.7142761963306843,0.004783190641549084,11179
13,0.7125453198973455,0.7064093452772707,0.006135974620074758,11209
14,0.7080560370792152,0.7007822721639505,0.007273764915264658,11218
15,0.699390807023353,0.6917236006785077,0.007667206344845301,11255
16,0.6957762778837417,0.6881366905558017,0.007639587327940012,11248
17,0.68996212640128,0.6807627986924877,0.009199327708792282,11268
18,0.6782600855117468,0.6681258033282979,0.010134282183448917,11244
19,0.6727407458642248,0.6608360366356951,0.011904709228529708,11257
20,0.6639458791468518,0.6515354939213328,0.01241038522551896,11271
21,0.6633336642605144,0.6511946082435058,0.012139056017008598,11153
22,0.6582843725356452,0.6452709289128087,0.013013443622836518,11031
23,0.6515398930372264,0.6381337826202131,0.013406110417013228,11140
24,0.6457635167908693,0.6309455156796815,0.014818001111187806,11266
