model,feature,gain
mean,sp_hPa,4167.0
mean,sp_rate_3h,892.0
mean,sp_rate_6h,1420.0
mean,sp_rate_12h,1443.0
mean,sp_rate_24h,1467.0
mean,sp_rate_48h,1345.0
mean,sp_rate_72h,1671.0
mean,sp_accel_nested,570.0
mean,sp_accel_disjoint,625.0
mean,rh,914.0
mean,rh_trend_3h,949.0
mean,t2m_C,3459.0
mean,t2m_trend_3h,1803.0
mean,t2m_trend_6h,2062.0
mean,dewpoint_dep,1607.0
mean,td_trend_3h,647.0
mean,td_trend_6h,1213.0
mean,month_sin,1433.0
mean,month_cos,1571.0
mean,hour_sin,1443.0
mean,hour_cos,1175.0
mean,elevation,774.0
mean,precip_mean,1428.0
mean,pressure_mean,2543.0
mean,temp_mean,1534.0
mean,lat,2172.0
mean,lon,1791.0
mean,ruggedness_m,898.0
mean,horizon_h,2092.0
q10,sp_hPa,2756.0
q10,sp_rate_3h,1290.0
q10,sp_rate_6h,1610.0
q10,sp_rate_12h,1697.0
q10,sp_rate_24h,1731.0
q10,sp_rate_48h,1713.0
q10,sp_rate_72h,1851.0
q10,sp_accel_nested,1063.0
q10,sp_accel_disjoint,1076.0
q10,rh,677.0
q10,rh_trend_3h,1330.0
q10,t2m_C,2643.0
q10,t2m_trend_3h,1605.0
q10,t2m_trend_6h,1497.0
q10,dewpoint_dep,1467.0
q10,td_trend_3h,1253.0
q10,td_trend_6h,1463.0
q10,month_sin,1000.0
q10,month_cos,916.0
q10,hour_sin,1302.0
q10,hour_cos,967.0
q10,elevation,1291.0
q10,precip_mean,1669.0
q10,pressure_mean,1832.0
q10,temp_mean,1514.0
q10,lat,1432.0
q10,lon,1498.0
q10,ruggedness_m,1237.0
q10,horizon_h,2342.0
q25,sp_hPa,4780.0
q25,sp_rate_3h,2574.0
q25,sp_rate_6h,2970.0
q25,sp_rate_12h,3276.0
q25,sp_rate_24h,3335.0
q25,sp_rate_48h,3216.0
q25,sp_rate_72h,3525.0
q25,sp_accel_nested,2249.0
q25,sp_accel_disjoint,2374.0
q25,rh,1359.0
q25,rh_trend_3h,2648.0
q25,t2m_C,4806.0
q25,t2m_trend_3h,2916.0
q25,t2m_trend_6h,3100.0
q25,dewpoint_dep,2746.0
q25,td_trend_3h,2656.0
q25,td_trend_6h,3096.0
q25,month_sin,1777.0
q25,month_cos,1663.0
q25,hour_sin,1914.0
q25,hour_cos,1726.0
q25,elevation,2366.0
q25,precip_mean,2858.0
q25,pressure_mean,2999.0
q25,temp_mean,2674.0
q25,lat,2549.0
q25,lon,2326.0
q25,ruggedness_m,2363.0
q25,horizon_h,5563.0
q75,sp_hPa,2356.0
q75,sp_rate_3h,769.0
q75,sp_rate_6h,1001.0
q75,sp_rate_12h,1039.0
q75,sp_rate_24h,918.0
q75,sp_rate_48h,998.0
q75,sp_rate_72h,1294.0
q75,sp_accel_nested,544.0
q75,sp_accel_disjoint,580.0
q75,rh,565.0
q75,rh_trend_3h,661.0
q75,t2m_C,2242.0
q75,t2m_trend_3h,992.0
q75,t2m_trend_6h,1092.0
q75,dewpoint_dep,1043.0
q75,td_trend_3h,590.0
q75,td_trend_6h,840.0
q75,month_sin,836.0
q75,month_cos,844.0
q75,hour_sin,655.0
q75,hour_cos,739.0
q75,elevation,846.0
q75,precip_mean,1224.0
q75,pressure_mean,1302.0
q75,temp_mean,1120.0
q75,lat,1403.0
q75,lon,1253.0
q75,ruggedness_m,783.0
q75,horizon_h,1333.0
q90,sp_hPa,1549.0
q90,sp_rate_3h,527.0
q90,sp_rate_6h,665.0
q90,sp_rate_12h,664.0
q90,sp_rate_24h,632.0
q90,sp_rate_48h,643.0
q90,sp_rate_72h,673.0
q90,sp_accel_nested,299.0
q90,sp_accel_disjoint,328.0
q90,rh,403.0
q90,rh_trend_3h,435.0
q90,t2m_C,1407.0
q90,t2m_trend_3h,577.0
q90,t2m_trend_6h,664.0
q90,dewpoint_dep,573.0
q90,td_trend_3h,370.0
q90,td_trend_6h,542.0
q90,month_sin,511.0
q90,month_cos,605.0
q90,hour_sin,437.0
q90,hour_cos,478.0
q90,elevation,511.0
q90,precip_mean,860.0
q90,pressure_mean,1045.0
q90,temp_mean,699.0
q90,lat,991.0
q90,lon,917.0
q90,ruggedness_m,486.0
q90,horizon_h,1039.0
