horizon_h,crpss,crpss_raw,mean_crps,cov_10_90,cov_25_75,cov_raw_10_90,cov_raw_25_75,cov_wet_10_90,cov_wet_25_75,cov_wet_raw_10_90,cov_wet_raw_25_75,n_test,n_wet,cov_conf_10_90,cov_conf_25_75,auc_binary,auc_tweedie,auc_gain,eval_weight_tau6
0,0.2427524866548999,-0.22350373223705944,0.3465665917560573,0.08498631014796691,0.043232261447046484,0.09957182803215658,0.05947075614586974,0.48778949265567273,0.15211318374335406,0.8006668468955573,0.5514102910696584,137328,11097,0.8002162746688294,0.4895917815625845,0.8228966037479571,0.8253903069108715,-0.002493703162914307,0.15593588219781318
1,0.2385622673680774,-0.23075854823794595,0.34938415896952674,0.08430374400093217,0.042435894634885264,0.10008520679032575,0.05920779532892006,0.48500581863754366,0.15298540864739057,0.8063736460478024,0.549906006624295,137313,11171,0.8004654910034912,0.4971801987288515,0.8159584275282397,0.8162691499533754,-0.00031072242513574544,0.1319968745351445
2,0.23359265239863625,-0.24499438234791815,0.3510150859099042,0.08310027384489892,0.042234749169725576,0.09917409543786052,0.05915341140826196,0.4835735386268015,0.15253782114403366,0.8028824635216185,0.5482051741115388,137304,11171,0.7918718109390386,0.49771730373287976,0.808707746053951,0.8080135643899402,0.0006941816640108067,0.11173294203667909
3,0.2243042368843845,-0.2662797314901535,0.35492707118384464,0.08307900736392043,0.04282145224377417,0.09908879678930156,0.05853988972328849,0.4819974669802786,0.15161932332187444,0.8024244617333092,0.5481273747059888,137291,11054,0.7974488872806224,0.5069658042337616,0.8037312253148202,0.8020351334154329,0.001696091899387353,0.09457989350231111
4,0.21628894688528988,-0.2778250606168484,0.36262597262621704,0.08294967802092136,0.04274600075759783,0.09855327952446166,0.059784667385413326,0.48245535313649823,0.14628017589518083,0.7960154356995424,0.5459930000897424,137276,11143,0.7981692542403303,0.5037243112267792,0.7938952073397305,0.7922581984682279,0.0016370088715026432,0.08006015139180689
5,0.20816105896722725,-0.3166040872864837,0.35921546962342177,0.08261512570758325,0.042903040149202626,0.0983513401280753,0.05978304422896192,0.48848050201703275,0.1507844016136262,0.8012550425818019,0.5541909457642313,137263,11155,0.8004482294935007,0.5045271178843568,0.7844096947516914,0.7815767903762725,0.002832904375418943,0.0677694550451404
6,0.19841624735748453,-0.34385524825212954,0.3630974230046117,0.08143889714668764,0.04256652385532336,0.09792049197050509,0.059288566348984294,0.48605973111973294,0.14653072272850312,0.8086258233330326,0.5561671027700081,137244,11083,0.8069114860597311,0.5106920508887486,0.7718283529076568,0.7692351815834664,0.0025931713241904575,0.05736560520150737
7,0.18772276562477597,-0.35972371240913903,0.37263103067932285,0.08152364017956043,0.04259458986766163,0.09805136127791057,0.058670494957150356,0.48721603563474386,0.1508240534521158,0.8073051224944321,0.5458351893095769,137224,11225,0.7978619153674833,0.5052115812917595,0.7628116509780338,0.7593034080537034,0.0035082429243303848,0.04855893644036594
8,0.183145462311342,-0.3860656849618884,0.37029566940821096,0.0822674566907901,0.04290472338223612,0.09810437938649233,0.0599441735720897,0.4960171842835407,0.1510784927951311,0.8123154032041529,0.5645753154927057,137211,11173,0.8056027924460754,0.5123959545332498,0.7563253193525358,0.7523836043832657,0.003941714969270094,0.04110425227689466
9,0.1752617609905468,-0.40053471944792385,0.37496861104791,0.08154875577649168,0.04365351254428036,0.09815298045104014,0.05986413400002916,0.4844343891402715,0.14796380090497738,0.8060633484162896,0.5554751131221719,137194,11050,0.8007239819004525,0.5075113122171946,0.7473217572504941,0.743939413635727,0.0033823436147670805,0.034793998367684736
10,0.16850470155620167,-0.4077955199227681,0.3816441922623443,0.08141738712075929,0.04311061217944045,0.09730139522677902,0.05936638917642256,0.491182292603923,0.14567212524743567,0.7970127766780637,0.5517365484973907,137182,11114,0.7983624257692999,0.501709555515566,0.7388717035230262,0.7335062734880351,0.0053654300349911255,0.029452483754118988
11,0.16426716334472868,-0.427872982202556,0.3812640907315342,0.08293600454923232,0.043378096612863244,0.09929574384322645,0.06102095271422947,0.4960028424231657,0.14674009593178183,0.8102682536862675,0.5633327411618405,137166,11258,0.8099129507905489,0.5127909042458696,0.7264238208755527,0.7222213612216402,0.004202459653912527,0.02493098925049943
12,0.1585620289344265,-0.4400406053591548,0.38480289654935107,0.08287703692902192,0.04438773650249717,0.0993474536108782,0.06064671357223579,0.49074156901332855,0.14965560425798372,0.8054387691206727,0.5566687539135879,137155,11179,0.799982109312103,0.5046068521334646,0.7190593869722334,0.7142761963306843,0.004783190641549084,0.021103626783992118
13,0.1558636074449069,-0.44606346538585506,0.38700499466163735,0.08166598611678236,0.04262672811059908,0.09848772093565887,0.059251589570086916,0.48844678383441875,0.14363457935587473,0.8093496297617986,0.5480417521634401,137144,11209,0.8070300651262379,0.5171736997055937,0.7125453198973455,0.7064093452772707,0.006135974620074758,0.01786383440156141
14,0.1503237264594548,-0.4597598114676653,0.38991126129665155,0.08316135665896114,0.04374649058199823,0.09921899497560727,0.06077400441913207,0.4961668746657158,0.1475307541451239,0.8118202888215368,0.5565163130682831,137131,11218,0.7991620609734356,0.5046354073809949,0.7080560370792152,0.7007822721639505,0.007273764915264658,0.015121409357393992
15,0.14809319797234077,-0.45899149600485756,0.3932831715218898,0.08262955994107266,0.04433407721816246,0.0998264268732041,0.05996295161831415,0.4846734784540204,0.14757885384273656,0.8085295424255886,0.5459795646379387,137118,11255,0.8000888494002666,0.5093736117281208,0.699390807023353,0.6917236006785077,0.007667206344845301,0.01279999667562394
16,0.145768123675169,-0.465221650625365,0.39495503298309936,0.08285011998278666,0.04344179193744849,0.09989569885414615,0.0607134781879317,0.4877311522048364,0.13851351351351351,0.8111664295874822,0.5529871977240398,137103,11248,0.8042318634423897,0.5226706970128022,0.6957762778837417,0.6881366905558017,0.007639587327940012,0.010834963264576279
17,0.1410342805807676,-0.4763071472386067,0.3973179479972394,0.08341418223463931,0.044059611779380975,0.09886422490826993,0.06082268924113884,0.4933439829605964,0.1502484913028044,0.8028931487397941,0.5546680866169684,137087,11268,0.8004082357117501,0.501242456514022,0.68996212640128,0.6807627986924877,0.009199327708792282,0.009171598393324966
18,0.14011368136340996,-0.48221479985068805,0.39668735234397295,0.0837868596524505,0.044559872769452995,0.09965420138027635,0.060609597735529715,0.49066168623265743,0.14816791177516897,0.8046958377801494,0.551760939167556,137074,11244,0.8080754180007115,0.5087157595161864,0.6782600855117468,0.6681258033282979,0.010134282183448917,0.007763590427985702
19,0.1379411124637826,-0.4916581976924761,0.394889737828845,0.0843311079493634,0.045033015942504834,0.10002553719309766,0.06098281711721572,0.4958692369192502,0.1518166474193835,0.8063427200852803,0.5525450830594297,137055,11257,0.7971040241627432,0.5052856000710669,0.6727407458642248,0.6608360366356951,0.011904709228529708,0.006571737416825599
20,0.13609556138869117,-0.490574910019536,0.3980529157357707,0.08283591891536901,0.044030297281125494,0.09865588651654238,0.060689423680331575,0.4947209653092006,0.14940999024044008,0.8025907195457368,0.5541655576257652,137042,11271,0.7938958388785379,0.4962292609351433,0.6639458791468518,0.6515354939213328,0.01241038522551896,0.00556285562412272
21,0.13595816148141804,-0.4999582540541003,0.39384905665315495,0.08266923548471845,0.04466970254254605,0.09855649940158216,0.060089908631812475,0.49466511252577783,0.1512597507397113,0.8006814310051107,0.5524074240114767,137028,11153,0.800322783107684,0.5012104366538152,0.6633336642605144,0.6511946082435058,0.012139056017008598,0.004708855624024854
22,0.13477509459476078,-0.4996295326449769,0.39526435891757083,0.08164129213073117,0.04353569708205001,0.09725283547666662,0.0588698965069263,0.4849061735110144,0.14486447284924303,0.7996555162723235,0.5444655969540386,137014,11031,0.7942162995195359,0.5032182032453993,0.6582843725356452,0.6452709289128087,0.013013443622836518,0.003985960230885428
23,0.13481456086677213,-0.4991728303774823,0.39464271582362853,0.08261253567492208,0.04395588353369683,0.09880219852409837,0.05994846752943409,0.48967684021543983,0.14281867145421903,0.803770197486535,0.5460502692998205,137001,11140,0.8006283662477558,0.5008078994614004,0.6515398930372264,0.6381337826202131,0.013406110417013228,0.0033740424915852866
