band,observed,expected,horizon_h
<q10,0.8736164511243155,0.1,0
q10-q25,0.012510194570662938,0.15,0
q25-q75,0.043232261447046484,0.5,0
q75-q90,0.029243854130257485,0.15,0
>q90,0.041397238727717584,0.1,0
<q10,0.8737992761064138,0.1,1
q10-q25,0.012817431707121685,0.15,1
q25-q75,0.042435894634885264,0.5,1
q75-q90,0.02905041765892523,0.15,1
>q90,0.04189697989265401,0.1,1
<q10,0.8748834702557828,0.1,2
q10-q25,0.011987997436345627,0.15,2
q25-q75,0.042234749169725576,0.5,2
q75-q90,0.02887752723882771,0.15,2
>q90,0.0420162558993183,0.1,2
<q10,0.8752066777865992,0.1,3
q10-q25,0.011981848773772497,0.15,3
q25-q75,0.04282145224377417,0.5,3
q75-q90,0.02827570634637376,0.15,3
>q90,0.0417143148494803,0.1,3
<q10,0.875040065269967,0.1,4
q10-q25,0.011196421807162214,0.15,4
q25-q75,0.04274600075759783,0.5,4
q75-q90,0.02900725545616131,0.15,4
>q90,0.04201025670911157,0.1,4
<q10,0.8758004706293757,0.1,5
q10-q25,0.01070936814727931,0.15,5
q25-q75,0.042903040149202626,0.5,5
q75-q90,0.029002717411101317,0.15,5
>q90,0.041584403663041024,0.1,5
<q10,0.8770510914866952,0.1,6
q10-q25,0.010310104631167848,0.15,6
q25-q75,0.04256652385532336,0.5,6
q75-q90,0.028562268660196437,0.15,6
>q90,0.04151001136661712,0.1,6
<q10,0.8765303445461435,0.1,7
q10-q25,0.010377193493849472,0.15,7
q25-q75,0.04259458986766163,0.5,7
q75-q90,0.02855185681804932,0.15,7
>q90,0.04194601527429604,0.1,7
<q10,0.8766935595542631,0.1,8
q10-q25,0.01023241576841507,0.15,8
q25-q75,0.04290472338223612,0.5,8
q75-q90,0.02913031754013891,0.15,8
>q90,0.04103898375494676,0.1,8
<q10,0.8769261046401446,0.1,9
q10-q25,0.009650567809087861,0.15,9
q25-q75,0.04365351254428036,0.5,9
q75-q90,0.02824467542312346,0.15,9
>q90,0.04152513958336371,0.1,9
<q10,0.8773600034990013,0.1,10
q10-q25,0.009556647373562129,0.15,10
q25-q75,0.04311061217944045,0.5,10
q75-q90,0.028750127567756703,0.15,10
>q90,0.04122260938023939,0.1,10
<q10,0.8756980592858289,0.1,11
q10-q25,0.010060802239622064,0.15,11
q25-q75,0.043378096612863244,0.5,11
q75-q90,0.029497105696747006,0.15,11
>q90,0.04136593616493883,0.1,11
<q10,0.8756078888848383,0.1,12
q10-q25,0.009842878495133243,0.15,12
q25-q75,0.04438773650249717,0.5,12
q75-q90,0.02864642193139149,0.15,12
>q90,0.04151507418613977,0.1,12
<q10,0.8765239456337864,0.1,13
q10-q25,0.010011374905209123,0.15,13
q25-q75,0.04262672811059908,0.5,13
q75-q90,0.029027883100974157,0.15,13
>q90,0.04181006824943125,0.1,13
<q10,0.8756225798688845,0.1,14
q10-q25,0.010238385193719874,0.15,14
q25-q75,0.04374649058199823,0.5,14
q75-q90,0.029176480883243032,0.15,14
>q90,0.04121606347215436,0.1,14
<q10,0.8750711066380782,0.1,15
q10-q25,0.00999868726206625,0.15,15
q25-q75,0.04433407721816246,0.5,15
q75-q90,0.028296795460843946,0.15,15
>q90,0.0422993334208492,0.1,15
<q10,0.875123082645894,0.1,16
q10-q25,0.010043543904947376,0.15,16
q25-q75,0.04344179193744849,0.5,16
q75-q90,0.0293647841403908,0.15,16
>q90,0.042026797371319376,0.1,16
<q10,0.8749334364308796,0.1,17
q10-q25,0.010511572942729799,0.15,17
q25-q75,0.044059611779380975,0.5,17
q75-q90,0.02884299751252854,0.15,17
>q90,0.04165238133448102,0.1,17
<q10,0.8744327881290398,0.1,18
q10-q25,0.01055634182996046,0.15,18
q25-q75,0.044559872769452995,0.5,18
q75-q90,0.028670645053037045,0.15,18
>q90,0.04178035221850971,0.1,18
<q10,0.8742621575279997,0.1,19
q10-q25,0.010338915034110394,0.15,19
q25-q75,0.045033015942504834,0.5,19
q75-q90,0.028959176972748166,0.15,19
>q90,0.0414067345226369,0.1,19
<q10,0.8756074779994454,0.1,20
q10-q25,0.009836400519548752,0.15,20
q25-q75,0.044030297281125494,0.5,20
q75-q90,0.028969221114694764,0.15,20
>q90,0.041556603085185564,0.1,20
<q10,0.8762004845724961,0.1,21
q10-q25,0.0094506232302887,0.15,21
q25-q75,0.04466970254254605,0.5,21
q75-q90,0.028548909711883702,0.15,21
>q90,0.04113027994278542,0.1,21
<q10,0.8768884931466857,0.1,22
q10-q25,0.010188739836804997,0.15,22
q25-q75,0.04353569708205001,0.5,22
q75-q90,0.02791685521187616,0.15,22
>q90,0.041470214722583096,0.1,22
<q10,0.8758914168509719,0.1,23
q10-q25,0.009912336406303604,0.15,23
q25-q75,0.04395588353369683,0.5,23
q75-q90,0.028744315734921644,0.15,23
>q90,0.041496047474106026,0.1,23
<q10,0.8746377181903795,0.1,24
q10-q25,0.01009643814015287,0.15,24
q25-q75,0.04445936968440418,0.5,24
q75-q90,0.02896794399141474,0.15,24
>q90,0.04183852999364866,0.1,24
